LeaderCountryOrIGO,LeaderFullName,CountryVisited_Planeado,CityVisited_Planeado,TripYear_Planeado,TripStartDate_Planeado,TripEndDate_Planeado,Visit_Category,Visit_Subtype,Counterpart_Planeado,Cancellation_Reason,Source_Verification,Source_Reliability,Methodological_Notes
Brazil,Luiz Inácio Lula da Silva,Russia,Kazan,2024,2024-10-22,NA,Multilateral,Global Forum,XVI Cúpula BRICS (Kazan),Cumbre BRICS de Kazan. CANCELADO tras una caida domestica con traumatismo craneal (19/10/2024); participo por videoconferencia.,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/lula-cancela-ida-ao-brics-na-russia-apos-acidente-domestico,High,"Cancelado por salud; sin duracion. Participacion virtual. NOTA 2026-07-20: la caida domestica de Lula (corte occipital, 5 puntos) fue el sabado 19/10/2024; participo por videoconferencia en la sesion plenaria del BRICS Kazan el miercoles 23/10/2024 (fuentes: Agencia Brasil, Planalto)."
Chile,Michelle Bachelet,Uruguay,Montevideo,2010,2010-03-01,NA,Bilateral,Inauguration/Funeral,Asunción de José Mujica,Asuncion de Jose Mujica. CANCELADA por el terremoto del 27 de febrero de 2010 en Chile; Bachelet permanecio gestionando la emergencia.,https://www.diariodecuyo.com.ar/noticias/no-viaja-a-uruguay-926813.html,High,Cancelado por el terremoto; sin duracion. Confirmada cancelacion por el terremoto del 27F; Chile representado por el embajador Eduardo Araya.
Chile,Michelle Bachelet,Panama,Panama City,2015,2015-04-10,2015-04-11,Multilateral,Regional Summit,VII Cumbre de las Américas,Objetivo original: asistir a la VII Cumbre de las Americas en Panama. CANCELADO por aluvion/temporal de Atacama (marzo 2015); delego en el canciller Heraldo Munoz.,https://cdn.com.do/nacionales/politica/michelle-bachelet-no-asistira-a-la-cumbre-de-las-americas-en-panama/,Medium,"CORREGIDO (2026-07-20): Trip_Status Completed->Canceled. Bachelet no asistio a la VII Cumbre de las Americas; delego en el canciller Heraldo Munoz por el aluvion/temporal de Atacama (marzo 2015). Fechas = las previstas del viaje (10-11/04/2015), Duration_Days=NA por regla de cancelados. Fuente verificada: CDN.com.do (01-abr-2015)."
Chile,Michelle Bachelet,Dominican Republic,Punta Cana,2017,2017-01-24,NA,Multilateral,Regional Summit,V Cumbre CELAC,Cumbre CELAC en Punta Cana. VIAJE NO REALIZADO: suspendido el 23-01-2017 por los incendios forestales en Chile; asistió el canciller Heraldo Muñoz.,https://www.latercera.com/noticia/presidenta-bachelet-suspende-viaje-a-cumbre-celac-por-incendios/,High,24-25/01/2017. Confirmar asistencia. Reclasificado a Canceled el 2026-07-07 (campaña de verificacion): el viaje no ocurrio.
Chile,Sebastián Piñera,Spain,Madrid,2019,2019-12-02,NA,Multilateral,Global Forum,COP25,"Presidir la cumbre climatica (reubicada de Santiago a Madrid tras el 18-O); no asistio, priorizando la crisis domestica.",https://www.elmostrador.cl/dia/2019/11/27/sebastian-pinera-no-acudira-a-la-cop25-que-se-desarrollara-en-madrid/,High,Chile mantuvo la presidencia de la COP; asistio la ministra Schmidt.
Chile,Sebastián Piñera,Argentina,Buenos Aires,2019,2019-12-10,NA,Multilateral,Inauguration/Funeral,Asunción de Alberto Fernández,Asistir al cambio de mando; cancelado tras el accidente del Hercules C-130 de la FACh y el contexto del estallido social.,https://www.infobae.com/politica/2019/12/10/sebastian-pinera-no-vendra-a-la-asuncion-de-alberto-fernandez-debido-a-la-desaparicion-del-avion-militar/,High,"CORREGIDO 2026-07-22: la URL previa (emol, nota sobre elecciones de Lacalle Pou en Uruguay, mar-2020) era irrelevante/erronea para este hecho. Reemplazada por fuente directa: Infobae 10-12-2019 (cruzada con La Nacion, El Cronista, Los Tiempos) confirma que Piñera cancelo su asistencia a la asuncion de Alberto Fernandez el 10-12-2019 por la desaparicion del avion Hercules C-130 de la FACh (38 personas a bordo, rumbo a la Antartica); la vocera Karla Rubilar confirmo que Fernandez haria una visita de Estado posterior a Chile. Fecha y motivo de la cancelacion quedan verificados; Source_Reliability sube de Medium a High."
Chile,Sebastián Piñera,Italy,Rome,2021,2021-06-22,NA,Bilateral,Working Visit,Sergio Mattarella / Mario Draghi,Gira europea para retomar agenda internacional; cancelada por alza de casos COVID-19 y cuarentena de la RM.,https://www.latercera.com/la-tercera-pm/noticia/como-se-gesto-y-cayo-la-gira-de-pinera-a-europa-y-su-frustrada-apuesta-por-retomar-la-agenda-internacional/RNKMRAIFHNBBBIITU4OAYRZR7E/,High,Fecha estimada (gira planificada ~22/6/2021). Reprogramada y concretada en sep-2021 (J113).
Chile,Sebastián Piñera,Vatican City,Vatican City,2021,2021-06-22,NA,Bilateral,Working Visit,Papa Francisco,Gira europea para retomar agenda internacional; cancelada por alza de casos COVID-19 y cuarentena de la RM.,https://www.latercera.com/la-tercera-pm/noticia/como-se-gesto-y-cayo-la-gira-de-pinera-a-europa-y-su-frustrada-apuesta-por-retomar-la-agenda-internacional/RNKMRAIFHNBBBIITU4OAYRZR7E/,High,Fecha estimada (gira planificada ~22/6/2021). Reprogramada y concretada en sep-2021 (J113).
Chile,Sebastián Piñera,United Kingdom,London,2021,2021-06-22,NA,Bilateral,Working Visit,Boris Johnson,Gira europea para retomar agenda internacional; cancelada por alza de casos COVID-19 y cuarentena de la RM.,https://www.latercera.com/la-tercera-pm/noticia/como-se-gesto-y-cayo-la-gira-de-pinera-a-europa-y-su-frustrada-apuesta-por-retomar-la-agenda-internacional/RNKMRAIFHNBBBIITU4OAYRZR7E/,High,Fecha estimada (gira planificada ~22/6/2021). Reprogramada y concretada en sep-2021 (J113).
Chile,Sebastián Piñera,Spain,Madrid,2021,2021-06-22,NA,Bilateral,Working Visit,Rey Felipe VI / Pedro Sánchez,Gira europea para retomar agenda internacional; cancelada por alza de casos COVID-19 y cuarentena de la RM.,https://www.latercera.com/la-tercera-pm/noticia/como-se-gesto-y-cayo-la-gira-de-pinera-a-europa-y-su-frustrada-apuesta-por-retomar-la-agenda-internacional/RNKMRAIFHNBBBIITU4OAYRZR7E/,High,Fecha estimada (gira planificada ~22/6/2021). Reprogramada y concretada en sep-2021 (J113).
Chile,Sebastián Piñera,France,Paris,2021,2021-06-22,NA,Bilateral,Working Visit,Emmanuel Macron,Gira europea para retomar agenda internacional; cancelada por alza de casos COVID-19 y cuarentena de la RM.,https://www.latercera.com/la-tercera-pm/noticia/como-se-gesto-y-cayo-la-gira-de-pinera-a-europa-y-su-frustrada-apuesta-por-retomar-la-agenda-internacional/RNKMRAIFHNBBBIITU4OAYRZR7E/,High,Fecha estimada (gira planificada ~22/6/2021). Reprogramada y concretada en sep-2021 (J113).
Chile,Sebastián Piñera,United Kingdom,Glasgow,2021,2021-11-01,NA,Multilateral,Global Forum,COP26,Asistir a la cumbre climatica; no viajo y envio a la ministra Schmidt para la entrega de la presidencia de la COP.,https://www.gob.cl/noticias/chile-entrega-presidencia-de-la-cop-y-ministra-schmidt-destaca-impulso-la-accion-climatica-en-el-pais/,Medium,Sin comunicado oficial con justificacion textual de la inasistencia (BRECHA en pendientes).
Chile,Gabriel Boric,United Arab Emirates,Dubái,2023,2023-11-30,NA,Multilateral,Global Forum,COP28,Participar en la COP28; cancelado el 22/11/2023 por agenda de seguridad interna; asistieron el canciller van Klaveren y la ministra Rojas.,https://www.emol.com/noticias/Nacional/2023/11/22/1113662/boric-desiste-de-cop28.html,Medium,Fecha de inicio estimada segun planificacion original.
Chile,Ricardo Lagos,Colombia,Cartagena de Indias,2000,2000-06-15,2000-06-16,Multilateral,Regional Summit,XIV Cumbre del Grupo de Río,Viaje cancelado a la XIV Cumbre del Grupo de Río (15-16 de junio de 2000); el programa de viaje aparece marcado como Cancelado en el archivo oficial de giras presidenciales.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2000,High,Fechas correspondientes al programa original (cancelado).
Paraguay,Mario Abdo Benítez,Turkey,NA,NA,NA,NA,Bilateral,State Visit,Presidente Recep Tayyip Erdoğan (visita reciproca planificada),Viaje planificado a Turquia tras la visita de Erdogan a Paraguay en 2018; cancelado/pospuesto reiteradamente en 2019 tras el escandalo del 'acta secreta' de Itaipu.,https://www.latribuna.com.py/destacado/13841-viajando-voy-abdo-benitez-aprovecho-su-mandato-para-recorrer-el-mundo/,Low,No se concreto durante el resto del mandato segun las fuentes disponibles; fechas planificadas no precisadas por la fuente.
Paraguay,Mario Abdo Benítez,Vatican City,NA,NA,NA,NA,Bilateral,State Visit,Papa Francisco (segunda audiencia planificada),Segunda visita al Vaticano planificada para septiembre de 2019; suspendida por los incendios forestales en el Chaco paraguayo (Cerro Chovoreca; Bella Vista).,https://www.latribuna.com.py/destacado/13841-viajando-voy-abdo-benitez-aprovecho-su-mandato-para-recorrer-el-mundo/,Low,Fecha planificada exacta no precisada por la fuente.
Paraguay,Mario Abdo Benítez,Argentina,Buenos Aires,NA,NA,NA,Multilateral,Regional Summit,Cumbre de Presidentes del Mercosur (30° aniversario),Cumbre presencial prevista para el 26-mar-2021 en Buenos Aires; reconvertida a formato virtual por rebrote de COVID-19; Abdo participo por videoconferencia sin viaje fisico.,https://www.infobae.com/politica/2021/03/13/la-cumbre-del-mercosur-sera-virtual-lo-decidio-alberto-fernandez-por-el-avance-del-covid-19-en-la-region/,Medium,NA
Paraguay,Mario Abdo Benítez,Brazil,Brasília,NA,NA,NA,Multilateral,Regional Summit,LIX Cumbre de Presidentes del Mercosur,Cumbre prevista presencial en Brasilia; Brasil la reconvirtio a formato virtual citando la variante omicron; Abdo asumio la PPT del Mercosur por videoconferencia.,https://www.lanacion.com.py/politica/2021/12/17/abdo-asume-la-presidencia-del-mercosur-y-promete-priorizar-revision-del-arancel-externo/,Medium,NA
Paraguay,Santiago Peña,Ecuador,Cuenca,2024,2024-11-14,2024-11-15,Multilateral,Regional Summit,XXIX Cumbre Iberoamericana de Jefes de Estado y de Gobierno,"Viaje cancelado un día antes del inicio de la cumbre; motivo: situación de inestabilidad política y de seguridad en Ecuador (motín carcelario con 15 muertos en la Penitenciaría del Litoral, dos días antes).",https://www.lanacion.com.py/politica/2024/11/14/pena-cancelo-su-presencia-en-la-cumbre-iberoamericana-ante-crisis-en-ecuador/,High,Cumbre con récord histórico de ausencias (Peña entre los presidentes que no asistieron). Fechas de la cumbre (14-15 nov 2024) usadas como Start/End planificados; Duration_Days=NA por regla de viajes cancelados.
Uruguay,Jorge Batlle,Ecuador,Guayaquil,2002,2002-07-26,NA,Multilateral,Regional Summit,II Cumbre Sudamericana,Cumbre sudamericana; CANCELADA por la crisis financiera; asistio el vicepresidente Hierro Lopez.,https://www.cidob.org/lider-politico/jorge-luis-batlle-ibanez,High,Feriado bancario decretado el 30-jul-2002.
Uruguay,José Mujica,Spain,Madrid,2012,2012-11-01,NA,Bilateral,Transit/Medical,Viaje oficial a España,Objetivo: agenda oficial en Espania. Cancelacion: aparicion de coagulo en pierna derecha (compromiso venoso cronico).,https://cnnespanol.cnn.com/2025/05/13/latinoamerica/pepe-mujica-problemas-salud-orix,High,Fecha exacta desconocida (nov-2012); Start_Date estimada.
Uruguay,José Mujica,Italy,Rome,2013,2013-06-01,NA,Bilateral,Transit/Medical,Visita de Estado a Italia,Objetivo: visita de Estado (tramo final gira China-Espania). Cancelacion: recomendacion medica de reposo.,https://www.infobae.com/america/agencias/2025/05/13/biografia-de-pepe-mujica/,High,Fecha exacta desconocida (jun-2013); Start_Date estimada.
Uruguay,Tabaré Vázquez,United States,New York,2019,2019-09-30,NA,Multilateral,Global Forum,74ª Asamblea General de la ONU,Objetivo: disertar en la 74ª AGNU. Cancelacion: delego en el canciller Nin Novoa por el tratamiento de su cancer de pulmon.,https://www.elobservador.com.uy/nota/tabare-vazquez-termino-la-radioterapia-contra-el-cancer-de-pulmon-2019920141425,High,"Fecha estimada; delegacion formal en canciller; Nin Novoa anuncio alli la salida del TIAR. QA-R5 2026-07-26: se corrige Start_Date de 01-sep a 30-sep-2019 (fecha real de la intervencion de Nin Novoa en el Debate General de la 74a AGNU, confirmada por fuentes de prensa)."
Uruguay,Luis Lacalle Pou,Ecuador,Quito,2021,2021-05-24,NA,Multilateral,Inauguration/Funeral,Asunción de Guillermo Lasso,Objetivo: investidura de Lasso. Cancelacion: muerte del ministro del Interior Jorge Larranaga.,https://www.teledoce.com/telemundo/nacionales/lacalle-pou-cancelo-su-viaje-a-ecuador-tras-fallecimiento-de-larranaga/,Medium,Destino anunciado y cancelado.
Uruguay,Luis Lacalle Pou,United States,Los Angeles,2022,2022-06-07,NA,Multilateral,Regional Summit,IX Cumbre de las Américas,Objetivo: IX Cumbre de las Americas. Cancelacion: positivo de COVID-19; dio discurso virtual; delegacion del canciller Bustillo.,https://www.cronista.com/internacionales/el-presidente-de-uruguay-dio-positivo-de-covid-luis-lacalle-pou-no-viaja-a-la-cumbre-de-las-americas/,High,Destino anunciado y cancelado; anuncio via Twitter el 6-jun-2022.
Uruguay,Yamandú Orsi,Colombia,Santa Marta,2025,2025-11-09,NA,Multilateral,Regional Summit,IV Cumbre CELAC-UE,Objetivo: cumbre birregional CELAC-UE. Cancelacion: priorizo la asuncion de Paz en Bolivia; envio al canciller Lubetkin.,https://cnnespanol.cnn.com/2025/11/09/latinoamerica/nueve-jefes-estado-gobierno-cumbre-celac-ue-colombia-efe,High,Asistencia confirmada por Colombia y luego no concretada.
Uruguay,Yamandú Orsi,United States,Miami,2026,2026-06-13,NA,Other,Working Visit,Mundial FIFA 2026,Objetivo: asistir al Mundial 2026. Cancelacion: retiro la venia por razones de fuerza mayor el 8-jun-2026.,https://www.telenoche.com.uy/nacionales/yamandu-orsi-retiro-la-solicitud-viajar-al-mundial-2026-y-no-se-ausentara-del-pais-la-proxima-semana-n5400598,High,Venia solicitada 4-jun y retirada 8-jun-2026; caracter cuasi-personal.
Uruguay,José Mujica,Brazil,Brasilia,2012,2012-04-05,NA,Bilateral,Working Visit,Dilma Rousseff,Objetivo: misión de siete horas a Brasilia para negociar con Dilma Rousseff temas del Mercosur y una asociación de UTE con una generadora eléctrica brasileña. Cancelación: mal tiempo impidió el despegue del avión presidencial.,https://www.subrayado.com.uy/mujica-no-viajo-brasil-mal-tiempo-n10845,Medium,Mujica llegó a estar en el aeropuerto pero la orden fue no partir ('si no llegábamos a Brasilia a las 9 horas no tenía sentido el vuelo'); nota de Subrayado fechada el mismo 5-abr-2012. No se halló confirmación de una fecha posterior de reprogramación efectiva de este viaje puntual.
