Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name
BRA-FHC-J011,11,Fernando Henrique Cardoso,Brasil,Completed,2001-04-20,2001-04-22,3,Canada,North America,Quebec City,Multilateral,Regional Summit,TRUE,III Cúpula das Américas (Quebec),NA,III Cumbre de las Americas; negociacion del ALCA (Brasil con estrategia obstruccionista).,https://summit-americas.org/sas/Cumbres_previas_IIICumbre.html,High,Fechas oficiales OEA (20-22 abr 2001).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J013,12,Fernando Henrique Cardoso,Brasil,Completed,2001-07-28,2001-07-29,2,Peru,South America,Lima,Bilateral,Inauguration/Funeral,NA,Posse de Alejandro Toledo,Jefe de Estado/Gobierno,Asuncion de Alejandro Toledo como presidente de Peru (Folha 26/07).,https://www1.folha.uol.com.br/folha/brasil/ult96u22800.shtml,Medium,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J014,13,Fernando Henrique Cardoso,Brasil,Completed,2001-08-12,2001-08-13,2,Venezuela,South America,Caracas,Bilateral,Working Visit,TRUE,Hugo Chávez / Fidel Castro,Jefe de Estado/Gobierno,Inauguracion de interconexion electrica Brasil-Venezuela; encuentro con Chavez y Fidel (Estado/Folha 12-13/08).,https://www1.folha.uol.com.br/fsp/brasil/fc1308200120.htm,Medium,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J015,14,Fernando Henrique Cardoso,Brasil,Completed,2001-09-27,2001-09-28,2,Ecuador,South America,Quito,Bilateral,Working Visit,NA,Gustavo Noboa,Jefe de Estado/Gobierno,Visita oficial a Ecuador (Folha 13/09 anuncio 'final do mes').,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Fernando_Henrique_Cardoso,Medium,Fecha estimada (fin de septiembre 2001).,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J016,15,Fernando Henrique Cardoso,Brasil,Completed,2001-10-25,2001-10-27,3,Spain,Europe,Madrid,Bilateral,Working Visit,NA,José María Aznar,Jefe de Estado/Gobierno,Viaje a Espana y Francia (Estado 25/10). Tramo 1: Espana.,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Fernando_Henrique_Cardoso,Medium,"Gira Espana-Francia oct 2001. NOTA 2026-07-21: confirmado por lista verificada (pt.wikipedia.org, Lista de viagens presidenciais de Fernando Henrique Cardoso), que cita O Estado de S. Paulo 'FHC em viagem a Espanha e França' (25/10/2001), fecha exacta coincidente con el inicio del tramo España. Mismo criterio de fuente ya usado para el tramo Francia (Trip_ID 16) de este mismo Journey_ID (BRA-FHC-J016).",NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J016,16,Fernando Henrique Cardoso,Brasil,Completed,2001-10-27,2001-10-29,3,France,Europe,Paris,Bilateral,Working Visit,NA,Jacques Chirac,Jefe de Estado/Gobierno,Tramo 2 de la gira: Francia.,https://pt.wikipedia.org/wiki/Lista_de_viagens_presidenciais_de_Fernando_Henrique_Cardoso,Medium,Fechas de dia estimadas.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J017,17,Fernando Henrique Cardoso,Brasil,Completed,2001-11-08,2001-11-09,2,United States,North America,Washington D.C.,Bilateral,Working Visit,NA,George W. Bush,Jefe de Estado/Gobierno,Reunion con Bush; discutieron Argentina y ONU. Post-11S (Estado 08/11).,"https://politica.estadao.com.br/noticias/geral,fhc-e-bush-discutiram-argentina-e-onu,20011108p40917",Medium,FHC tambien 'cobrou na ONU ordem mais solidaria' (Folha 10/11): posible tramo NY.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J018,18,Fernando Henrique Cardoso,Brasil,Completed,2002-01-13,2002-01-15,3,Russia,Europe,Moscow,Bilateral,State Visit,NA,Vladímir Putin,Jefe de Estado/Gobierno,Visita de Estado a Rusia; 'FHC embarca para a Russia em sua 85a viagem ao exterior' (Estado 11/01).,"https://politica.estadao.com.br/noticias/geral,fhc-embarca-para-a-russia-em-sua-85-viagem-ao-exterior,20020111p54670",High,Dato ancla: era su viaje nº85 al exterior (ene 2002).,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J019,19,Fernando Henrique Cardoso,Brasil,Completed,2002-02-20,2002-02-21,2,Sweden,Europe,Stockholm,Bilateral,Working Visit,NA,Comércio e 'terceira via',Jefe de Estado/Gobierno,FHC 'discute comercio e terceira via na Suecia' (21/02). Tramo 1 de gira europea.,http://www.lourivalsantanna.com/paises/europa/suecia/fhc-discute-comercio-e-terceira-via-na-suecia/,Medium,Gira Suecia-Polonia-Eslovaquia feb 2002.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J019,20,Fernando Henrique Cardoso,Brasil,Completed,2002-02-25,2002-02-25,1,Poland,Europe,Warsaw,Bilateral,Working Visit,NA,Relação econômica com a Polônia,Jefe de Estado/Gobierno,FHC 'quer relacao economica estreita com a Polonia' (BBC 25/02). Tramo 2.,https://www.bbc.com/portuguese/economia/020225_fhcag1.shtml,Medium,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J019,21,Fernando Henrique Cardoso,Brasil,Completed,2002-02-26,2002-02-26,1,Slovakia,Europe,Bratislava,Bilateral,Working Visit,NA,Visita à Eslováquia,Jefe de Estado/Gobierno,Presidente brasileno en Bratislava (BBC 26/02). Tramo 3 (final).,https://www.bbc.com/portuguese/noticias/2002/020226_brtislava.shtml,Medium,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J020,22,Fernando Henrique Cardoso,Brasil,Completed,2002-03-17,2002-03-20,4,Chile,South America,Santiago,Bilateral,Working Visit,NA,Ricardo Lagos,Jefe de Estado/Gobierno,Visita oficial a Chile (Itamaraty: 17-20 mar 2002).,https://web.archive.org/web/20150112210145/http://kitplone.itamaraty.gov.br/sala-de-imprensa/notas-a-imprensa/2002/03/05/viagem-do-presidente-fernando-henrique-cardoso-ao,High,Itamaraty (Wayback). Fechas oficiales 17-20/03/2002.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J021,23,Fernando Henrique Cardoso,Brasil,Completed,2002-03-21,2002-03-22,2,Mexico,North America,Monterrey,Multilateral,Global Forum,NA,Conferência da ONU sobre Financiamento para o Desenvolvimento,NA,Conferencia de Monterrey (Consenso de Monterrey) sobre financiamiento al desarrollo.,https://www.un.org/es/conf/ffd/2002/,Medium,Segmento de jefes de Estado 21-22 mar (estimado).,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J022,24,Fernando Henrique Cardoso,Brasil,Completed,2002-08-31,2002-09-02,3,South Africa,Africa,Johannesburg,Multilateral,Global Forum,NA,Cúpula Mundial sobre Desenvolvimento Sustentável (Rio+10),NA,Cumbre Mundial de Desarrollo Sostenible (Rio+10). La cumbre fue 26 ago-4 sep 2002.,https://pt.wikipedia.org/wiki/Rio%2B10,Medium,Segmento de alto nivel de jefes de Estado (fin ago-inicio sep); dias exactos de FHC estimados.,Medio Ambiente/Clima,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J023,25,Fernando Henrique Cardoso,Brasil,Completed,2002-11-11,2002-11-12,2,Portugal,Europe,Lisbon,Bilateral,Working Visit,NA,Visita a Lisboa (sem compromissos oficiais),Jefe de Estado/Gobierno,FHC 'chega a Lisboa sem compromissos oficiais' (Agencia Brasil 10/11). Ultima gira internacional como jefe de Estado.,http://memoria.ebc.com.br/agenciabrasil/node/573336,Medium,'FHC faz ultima viagem como chefe de Estado' (DGABC 09/11/2002). | Counterpart_Type-QA 2026-07-27: fuente dice explicitamente 'sem compromissos oficiais' (ultima viagem de FHC como chefe de Estado); no se confirma reunion con jefe de Estado/gobierno portugues ni otra contraparte identificable. Se mantiene default 'Jefe de Estado/Gobierno' por falta de alternativa clara en la taxonomia cerrada; revisar si corresponderia mejor a Visit_Category=Other.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-FHC-J024,26,Fernando Henrique Cardoso,Brasil,Completed,2002-12-08,2002-12-10,3,United States,North America,New York,Other,Working Visit,NA,Prêmio em Nova York,NA,Viaje a NY a recibir un premio; fue su 99a viagem al exterior (BBC 08/12/2002).,http://www.bbc.co.uk/portuguese/noticias/2002/021208_fhcebc.shtml,Medium,Dato ancla: 99a y ultima viagem al exterior de FHC. Ciudad exacta a confirmar (NY probable).,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J025,27,Luiz Inácio Lula da Silva,Brasil,Completed,2003-01-15,2003-01-16,2,Ecuador,South America,Quito,Bilateral,Inauguration/Funeral,NA,Posse de Lucio Gutiérrez,Jefe de Estado/Gobierno,Primer viaje del mandato: visita oficial a Ecuador por la asuncion de Lucio Gutierrez.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Fechas oficiales Biblioteca da Presidencia (15-16/01/2003).,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J026,28,Luiz Inácio Lula da Silva,Brasil,Completed,2003-01-25,2003-01-26,2,Switzerland,Europe,Davos,Multilateral,Global Forum,TRUE,Foro Económico Mundial (WEF),NA,Davos tras asumir; llevo la agenda social (venia del Foro Social Mundial de Porto Alegre). Tramo 1.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,"Gira 24-29/01/2003: Davos (25-26), Alemania (27), Francia (28). Fechas oficiales.",Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J026,29,Luiz Inácio Lula da Silva,Brasil,Completed,2003-01-27,2003-01-27,1,Germany,Europe,Berlin,Bilateral,Working Visit,NA,Johannes Rau / Gerhard Schröder,Jefe de Estado/Gobierno,Visita al presidente Rau y reunion de trabajo con el canciller Schroder. Tramo 2.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J026,30,Luiz Inácio Lula da Silva,Brasil,Completed,2003-01-28,2003-01-28,1,France,Europe,Paris,Bilateral,Working Visit,NA,Jacques Chirac / Jean-Pierre Raffarin,Jefe de Estado/Gobierno,Reunion con Chirac y Raffarin. Tramo 3 (final).,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J027,31,Luiz Inácio Lula da Silva,Brasil,Completed,2003-05-22,2003-05-24,3,Peru,South America,Cusco,Multilateral,Regional Summit,NA,XVII Cúpula do Grupo do Rio,NA,Cumbre del Grupo de Rio en Cusco; concertacion politica regional.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Fechas oficiales (22-24/05/2003).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J028,32,Luiz Inácio Lula da Silva,Brasil,Completed,2003-06-01,2003-06-03,3,France,Europe,Évian-les-Bains,Multilateral,Global Forum,TRUE,"Cúpula do G8 ampliada (Evian, convidado)",NA,Invitado al dialogo ampliado del G8 en Evian; debut de Lula en el foro de las potencias.,https://memoria.ebc.com.br/agenciabrasil/noticia/2003-06-01/leia-integra-do-discurso-de-lula-na-reuniao-do-g-8,High,G8 Evian 1-3 jun 2003; segmento ampliado 1/06 (estimado).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J029,33,Luiz Inácio Lula da Silva,Brasil,Completed,2003-06-20,2003-06-20,1,United States,North America,Washington D.C.,Bilateral,Working Visit,NA,George W. Bush,Jefe de Estado/Gobierno,"Primera visita de Lula a Bush en la Casa Blanca; comercio, ALCA y agenda social.",https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Reunion 20/06/2003.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J030,34,Luiz Inácio Lula da Silva,Brasil,Completed,2003-09-23,2003-09-23,1,United States,North America,New York,Multilateral,Global Forum,TRUE,58ª Assembleia Geral da ONU,NA,Discurso de apertura de la 58a AGNU (Brasil abre por tradicion); hambre y pobreza como agenda global. Bilateral con Putin.,https://www.un.org/webcast/ga/58/statements/brazil-spanish.htm,High,Foto oficial con Putin en la AGNU 2003 (lista oficial).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J031,35,Luiz Inácio Lula da Silva,Brasil,Completed,2003-09-26,2003-09-27,2,Cuba,Caribbean,Havana,Bilateral,State Visit,NA,Fidel Castro,Jefe de Estado/Gobierno,Visita oficial a Cuba; revista a las tropas con Fidel (foto oficial). Cooperacion y comercio.,https://www.publico.pt/2003/09/28/mundo/noticia/lula-fortalece-cooperacao-com-cuba-1168185,Medium,"Fechas estimadas (fines sep 2003, tras AGNU).",NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J032,36,Luiz Inácio Lula da Silva,Brasil,Completed,2003-11-02,2003-11-02,1,Sao Tome and Principe,Africa,São Tomé,Bilateral,Working Visit,NA,Fradique de Menezes,Jefe de Estado/Gobierno,Primera gira africana del mandato; cooperacion lusofona (CPLP). Tramo 1.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Gira 1-8 nov 2003 (5 paises); fechas de dia estimadas.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J032,37,Luiz Inácio Lula da Silva,Brasil,Completed,2003-11-03,2003-11-03,1,Angola,Africa,Luanda,Bilateral,Working Visit,NA,José Eduardo dos Santos,Jefe de Estado/Gobierno,"Cooperacion, reconstruccion posguerra, comercio. Tramo 2.",https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J032,38,Luiz Inácio Lula da Silva,Brasil,Completed,2003-11-04,2003-11-05,2,Mozambique,Africa,Maputo,Bilateral,Working Visit,NA,Joaquim Chissano,Jefe de Estado/Gobierno,Cooperacion lusofona; anuncio de fabrica de antirretrovirales. Tramo 3.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J032,39,Luiz Inácio Lula da Silva,Brasil,Completed,2003-11-06,2003-11-06,1,Namibia,Africa,Windhoek,Bilateral,Working Visit,NA,Sam Nujoma,Jefe de Estado/Gobierno,Cooperacion bilateral. Tramo 4.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J032,40,Luiz Inácio Lula da Silva,Brasil,Completed,2003-11-07,2003-11-08,2,South Africa,Africa,Pretoria,Bilateral,Working Visit,NA,Thabo Mbeki,Jefe de Estado/Gobierno,Eje IBSA (India-Brasil-Sudafrica); comercio Sur-Sur. Tramo 5 (final).,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J033,41,Luiz Inácio Lula da Silva,Brasil,Completed,2003-11-14,2003-11-15,2,Bolivia,South America,Santa Cruz de la Sierra,Multilateral,Regional Summit,NA,XIII Cúpula Ibero-Americana,NA,Cumbre Iberoamericana 'inclusion social'.,https://segib.org/?summit=xiii-cumbre-iberoamericana-santa-cruz-de-la-sierra-2003,High,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J034,42,Luiz Inácio Lula da Silva,Brasil,Completed,2003-12-03,2003-12-04,2,Syria,Middle East,Damascus,Bilateral,Working Visit,NA,Bashar al-Assad,Jefe de Estado/Gobierno,Primera gira de un presidente brasileno por el mundo arabe en decadas; semilla de la cumbre ASPA. Tramo 1.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Gira 3-11 dic 2003 (5 paises); fechas de dia estimadas.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J034,43,Luiz Inácio Lula da Silva,Brasil,Completed,2003-12-05,2003-12-05,1,Lebanon,Middle East,Beirut,Bilateral,Working Visit,NA,Émile Lahoud,Jefe de Estado/Gobierno,Vinculo con la diaspora libanesa en Brasil (la mayor del mundo). Tramo 2.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J034,44,Luiz Inácio Lula da Silva,Brasil,Completed,2003-12-07,2003-12-07,1,United Arab Emirates,Middle East,Dubai,Bilateral,Working Visit,NA,Governo dos EAU,Jefe de Estado/Gobierno,Comercio e inversiones. Tramo 3.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J034,45,Luiz Inácio Lula da Silva,Brasil,Completed,2003-12-08,2003-12-09,2,Egypt,Africa,Cairo,Bilateral,Working Visit,NA,Hosni Mubarak,Jefe de Estado/Gobierno,Comercio; acuerdo marco Mercosur-Egipto en agenda. Tramo 4.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J034,46,Luiz Inácio Lula da Silva,Brasil,Completed,2003-12-10,2003-12-11,2,Libya,Africa,Tripoli,Bilateral,Working Visit,NA,Muammar Gadafi,Jefe de Estado/Gobierno,Comercio y cooperacion. Tramo 5 (final).,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J035,47,Luiz Inácio Lula da Silva,Brasil,Completed,2003-12-15,2003-12-16,2,Uruguay,South America,Montevideo,Multilateral,Regional Summit,NA,Cúpula do MERCOSUL,NA,"Cumbre de jefes de Estado del Mercosur, Bolivia y Chile.",https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Fechas oficiales (15-16/12/2003).,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J036,48,Luiz Inácio Lula da Silva,Brasil,Completed,2004-01-11,2004-01-14,4,Mexico,North America,Monterrey,Multilateral,Regional Summit,TRUE,Cúpula Extraordinária das Américas,NA,Cumbre extraordinaria de las Americas en Monterrey.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Fechas oficiales (11-14/01/2004).,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA-LU-J037,49,Luiz Inácio Lula da Silva,Brasil,Completed,2004-01-24,2004-01-28,5,India,Asia-Pacific,New Delhi,Bilateral,State Visit,NA,A.P.J. Abdul Kalam (convidado de honra do Dia da República),Jefe de Estado/Gobierno,Visita de Estado a India; invitado de honor del Dia de la Republica (26/1); eje IBSA y G20 comercial. Tramo 1.,https://www.biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/viagens/viagens-1,High,Gira 24-31/01/2004; India visita de Estado 26/1.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA
